aX,aY,aZ,gX,gY,gZ
1.396,0.923,-0.696,-102.600,-51.697,108.032
1.379,0.999,-0.843,-110.535,-48.828,103.943
1.393,1.007,-0.942,-114.868,-48.401,98.694
1.423,0.993,-1.063,-107.666,-49.255,70.984
1.399,0.969,-1.306,-98.511,-51.636,48.645
1.280,1.020,-1.404,-70.557,-76.416,9.827
0.902,1.088,-1.466,-52.063,-97.595,-12.329
0.676,1.082,-1.439,-34.668,-143.677,-75.684
0.061,0.945,-1.260,-45.593,-166.992,-104.370
-0.316,0.740,-0.966,-81.116,-190.369,-121.094
-0.723,0.426,-0.537,-192.932,-234.009,-107.056
-1.480,-0.319,0.509,-214.783,-250.610,-93.018
-1.780,-0.571,1.085,-126.831,-286.377,-88.501
-1.986,-0.545,2.320,-63.232,-320.740,-79.529
-1.712,-0.340,2.827,-30.823,-396.484,12.817
-0.310,0.161,3.544,-53.284,-406.189,85.632
0.852,0.430,3.875,-42.542,-357.422,204.346
3.096,0.606,3.707,-12.207,-278.748,191.162
2.872,0.645,2.636,-10.986,-148.682,110.840
1.523,0.618,1.259,-117.371,109.009,-57.434
-0.818,-0.136,-0.336,-159.363,137.207,-66.956
-0.865,-0.519,-0.552,-114.075,48.645,10.925
-0.074,-0.480,-0.206,-45.837,-1.526,28.625
0.262,-0.179,0.287,56.152,-61.401,25.757
0.960,0.476,1.264,68.665,-60.974,42.969
1.216,0.702,1.415,63.293,-36.316,56.335
1.214,0.807,1.370,34.912,46.387,4.761
0.713,0.633,0.884,26.245,68.298,-39.185
0.498,0.436,0.577,25.513,63.965,-64.819
0.335,0.223,0.325,28.198,53.223,-42.969
0.365,0.274,0.399,32.715,41.016,-19.287
0.487,0.397,0.538,62.073,16.418,-6.287
0.731,0.618,0.877,76.294,10.620,-14.099
0.812,0.656,0.985,83.435,27.222,-41.504
0.834,0.567,0.979,75.928,43.091,-53.833
0.798,0.506,0.951,63.965,66.040,-48.645
0.726,0.457,0.970,66.040,71.533,-42.725
0.688,0.460,1.019,73.792,75.989,-45.532
0.664,0.441,1.083,95.215,87.036,-78.064
0.693,0.280,1.171,101.868,94.788,-94.910
0.737,0.191,1.139,97.534,110.229,-80.322
0.835,0.101,1.071,85.999,117.920,-49.011
0.839,0.117,1.100,72.632,125.916,-15.503
0.821,0.171,1.150,63.965,145.020,22.888
0.729,0.242,1.094,71.228,154.297,20.447
0.703,0.188,0.990,84.290,166.687,-3.784
0.742,-0.069,0.725,79.956,169.983,-2.625
0.754,-0.164,0.636,69.641,171.753,14.343
0.744,-0.168,0.555,73.486,161.499,64.270
0.642,0.040,0.502,89.844,152.710,73.547
0.575,0.168,0.471,123.352,143.005,56.030
