"aX","aY","aZ","gX","gY","gZ"
0.998,0.165,-0.063,61.707,11.963,-77.209
1.033,0.144,-0.090,51.331,17.151,-79.895
1.034,0.096,-0.113,35.706,11.047,-89.905
0.989,0.001,-0.060,28.625,4.333,-89.966
0.971,-0.025,-0.005,24.780,-3.296,-83.130
0.966,-0.035,0.035,26.978,-3.967,-78.735
0.980,-0.035,0.038,25.635,-1.282,-75.989
1.060,-0.061,0.009,20.935,5.920,-79.285
1.083,-0.057,-0.016,14.771,15.930,-87.280
1.044,-0.072,-0.045,9.399,19.592,-105.957
0.931,-0.194,-0.124,6.836,13.062,-99.670
0.954,-0.196,-0.067,-1.465,-3.418,-68.298
0.948,-0.165,0.080,3.967,-11.230,-60.913
0.922,-0.176,0.131,20.020,-24.597,-47.913
0.874,-0.194,0.186,24.109,-28.015,-41.382
0.880,-0.203,0.206,15.381,-23.010,-30.396
0.901,-0.200,0.241,5.981,-15.686,-29.358
0.903,-0.194,0.242,-6.653,-3.418,-31.006
0.911,-0.178,0.257,-27.588,21.667,-31.250
0.923,-0.209,0.236,-23.010,23.437,-28.625
0.922,-0.237,0.193,4.089,10.193,-18.982
0.970,-0.229,0.094,15.381,2.869,-16.052
1.008,-0.203,0.041,5.859,7.324,-23.254
1.061,-0.153,-0.017,-14.587,20.142,-30.457
1.071,-0.158,-0.043,-34.180,33.081,-38.818
1.061,-0.195,-0.078,-48.767,40.283,-53.528
1.029,-0.280,-0.106,-43.396,32.166,-55.237
1.021,-0.303,-0.105,-11.841,-0.549,-49.866
0.991,-0.325,-0.101,5.676,-17.944,-44.922
0.974,-0.337,-0.100,9.094,-29.297,-30.579
1.012,-0.318,-0.000,-5.249,-21.912,-24.109
1.027,-0.305,0.062,-17.090,-12.451,-21.423
1.028,-0.326,0.110,-18.799,1.099,-19.226
1.029,-0.334,0.109,-12.878,5.188,-15.198
1.031,-0.329,0.098,2.136,7.385,-3.845
1.027,-0.312,0.049,7.019,7.751,0.977
1.028,-0.308,0.023,2.747,11.719,7.568
1.030,-0.292,0.016,-2.563,13.733,7.629
1.021,-0.285,0.024,-7.080,14.832,5.615
1.007,-0.280,0.036,-15.137,16.541,1.038
0.988,-0.269,0.076,-17.517,16.235,-0.732
0.979,-0.262,0.098,-13.733,9.949,-1.648
0.965,-0.258,0.133,-9.094,5.615,-0.793
0.961,-0.251,0.144,-1.648,-2.319,-0.916
0.951,-0.241,0.161,-1.282,-3.723,-2.319
0.945,-0.241,0.171,-3.235,-2.441,-4.028
0.939,-0.241,0.161,-7.935,4.639,-6.165
0.939,-0.240,0.144,-8.728,7.141,-6.958
0.937,-0.244,0.129,-6.897,6.653,-7.874
0.938,-0.252,0.109,-4.517,4.456,-6.165
0.950,-0.243,0.108,1.709,-0.549,0.122
0.971,-0.227,0.102,5.188,-2.930,2.808
0.974,-0.225,0.102,7.812,-4.822,4.883
0.975,-0.218,0.096,9.338,-4.944,7.080
0.978,-0.210,0.089,8.911,-3.784,7.080
0.983,-0.201,0.083,7.202,-2.869,4.761
0.993,-0.190,0.082,6.897,-4.517,3.113

-1.010,0.891,-1.005,-178.345,130.493,248.230
-1.225,1.021,-1.064,-114.868,116.455,277.344
-1.074,1.757,-0.856,-87.036,105.530,311.768
-0.420,2.349,-0.564,-20.020,91.797,369.995
1.636,2.609,-0.021,6.470,76.599,328.979
1.934,2.152,0.026,7.080,47.180,216.064
1.232,1.575,-0.216,-20.325,-8.423,-71.655
-0.760,0.380,-1.107,-23.315,-20.630,-122.925
-1.001,-0.027,-1.249,-40.344,-19.653,-53.284
-0.510,-0.056,-0.756,-35.645,-19.104,-14.587
-0.218,0.112,-0.544,23.010,-28.564,14.343
0.132,0.445,-0.578,37.109,-20.386,17.944
0.200,0.549,-0.689,30.701,-3.601,16.174
0.193,0.582,-0.811,15.930,1.587,-8.057
0.021,0.491,-0.993,17.395,-14.099,-21.362
-0.040,0.416,-0.998,10.010,-31.494,-26.001
-0.023,0.333,-0.892,1.282,-29.297,-21.851
0.015,0.333,-0.822,-12.146,-17.517,-10.376
0.104,0.412,-0.713,-14.771,-7.507,-5.310
0.120,0.446,-0.726,0.977,2.014,-4.517
0.078,0.442,-0.836,12.512,-1.953,-7.446
0.058,0.426,-0.871,19.653,-6.348,-9.277
0.049,0.414,-0.889,17.456,-5.981,-5.249
0.067,0.403,-0.883,9.094,-2.075,-0.793
0.085,0.430,-0.851,-8.301,6.592,5.859
0.096,0.493,-0.829,-8.972,7.141,6.226
0.092,0.513,-0.847,-5.432,4.333,4.395
0.094,0.523,-0.872,4.517,-6.958,-3.235
0.104,0.499,-0.917,8.179,-13.977,-6.897
0.095,0.480,-0.917,6.958,-19.836,-11.780
0.076,0.458,-0.885,5.188,-18.372,-11.963
0.075,0.452,-0.877,7.141,-16.724,-11.597
0.093,0.446,-0.878,10.010,-16.357,-12.207
0.104,0.445,-0.886,14.465,-16.174,-13.062
0.110,0.444,-0.901,24.841,-19.897,-15.137
0.115,0.483,-0.922,27.161,-22.949,-16.296
0.137,0.522,-0.929,31.189,-32.410,-20.691
0.214,0.598,-0.907,36.682,-41.931,-27.161
0.244,0.614,-0.875,54.260,-67.505,-47.241
0.245,0.625,-0.804,64.880,-77.942,-56.641
0.245,0.615,-0.790,76.416,-85.754,-63.354
0.244,0.579,-0.804,92.407,-96.497,-68.359
0.203,0.494,-0.864,83.496,-93.628,-65.430
0.208,0.501,-0.850,34.424,-59.998,-49.011
0.308,0.585,-0.751,20.752,-47.852,-45.166
0.347,0.630,-0.704,50.049,-71.594,-59.570
0.378,0.635,-0.628,81.543,-101.074,-70.190
0.369,0.604,-0.601,111.572,-128.540,-78.308
0.343,0.576,-0.584,144.470,-144.348,-81.299
0.353,0.568,-0.549,146.545,-134.094,-75.806
0.397,0.601,-0.521,148.499,-120.056,-66.895
0.462,0.721,-0.436,158.691,-126.160,-69.336
0.477,0.760,-0.388,191.895,-150.879,-87.585
0.492,0.836,-0.267,206.421,-158.875,-95.337
0.528,0.899,-0.200,217.590,-159.912,-99.670
0.589,0.938,-0.149,239.075,-153.564,-114.136
0.643,0.895,-0.128,250.305,-153.320,-125.793
0.623,0.847,-0.163,247.620,-146.179,-136.230
0.587,0.822,-0.187,225.708,-129.578,-131.714
0.596,0.820,-0.122,171.631,-97.168,-128.296
0.615,0.802,0.088,161.560,-95.032,-132.324
0.616,0.748,0.171,167.358,-100.281,-135.010
0.615,0.670,0.221,190.918,-102.661,-128.113
0.650,0.546,0.233,188.354,-87.402,-115.906
0.678,0.569,0.230,152.100,-28.503,-87.524
0.714,0.720,0.266,137.573,-6.836,-81.970
0.712,0.743,0.281,144.714,-11.963,-90.271
0.666,0.601,0.271,153.198,-22.156,-94.055
0.675,0.489,0.281,153.992,-24.963,-92.957
0.704,0.397,0.297,132.812,-3.479,-80.261
0.731,0.329,0.287,117.981,14.282,-72.876
0.740,0.339,0.257,93.445,40.955,-61.707
0.787,0.393,0.213,87.524,44.067,-59.570
0.845,0.392,0.164,83.191,44.312,-60.852
0.939,0.295,0.033,73.120,49.377,-62.195
0.966,0.255,0.018,56.519,58.472,-62.866
0.979,0.237,0.034,32.898,70.679,-63.782
0.990,0.166,0.026,31.738,69.946,-64.880
0.989,0.132,-0.011,34.851,64.270,-67.749
0.972,0.077,-0.077,39.001,54.932,-70.251
0.967,0.030,-0.109,43.823,41.565,-71.716
0.980,0.003,-0.111,44.983,18.921,-66.345
1.039,-0.044,-0.057,44.800,11.658,-63.721
1.070,-0.088,-0.068,37.537,15.259,-60.730
1.108,-0.133,-0.106,26.794,23.926,-60.730
1.088,-0.149,-0.114,3.296,32.349,-64.392
1.020,-0.190,-0.090,-6.226,30.884,-65.796
0.994,-0.195,-0.049,-11.230,25.757,-64.880
