"aX","aY","aZ","gX","gY","gZ"
0.202,-0.475,-0.844,8.484,-2.502,0.488
0.206,-0.472,-0.844,4.761,-4.639,1.038
0.213,-0.488,-0.847,1.343,-4.761,1.587
0.209,-0.490,-0.845,-2.136,-3.479,2.014
0.205,-0.483,-0.853,-2.563,-3.235,1.892
0.207,-0.485,-0.855,-2.502,-2.930,1.892
0.212,-0.487,-0.847,-1.953,-3.723,1.770
0.217,-0.487,-0.844,-1.404,-4.333,1.526
0.223,-0.492,-0.843,0.366,-2.747,0.610
0.232,-0.500,-0.840,1.404,-1.892,0.183
0.229,-0.496,-0.837,1.831,-1.221,0.183
0.225,-0.488,-0.842,1.038,-1.038,0.244
0.227,-0.489,-0.849,0.549,-0.488,0.244
0.225,-0.486,-0.852,0.000,-0.793,0.488
0.217,-0.480,-0.848,-0.916,-1.831,0.854
0.210,-0.477,-0.845,-2.380,-3.540,1.099
0.219,-0.494,-0.849,-2.747,-3.479,1.160
0.218,-0.495,-0.850,-3.357,-4.395,2.258
0.213,-0.489,-0.846,-3.601,-4.456,2.197
0.221,-0.495,-0.842,-3.906,-2.258,1.831
0.228,-0.499,-0.841,-3.601,-1.831,2.258
0.223,-0.492,-0.840,-3.113,-2.075,2.563
0.223,-0.490,-0.839,-1.953,-2.258,1.709
0.231,-0.499,-0.836,-0.671,-1.953,0.854
0.229,-0.500,-0.831,1.038,-3.235,-0.793
0.227,-0.495,-0.839,1.648,-3.784,-1.465
0.228,-0.491,-0.842,4.028,-3.296,-2.319
0.238,-0.486,-0.840,4.883,-2.808,-2.380
0.243,-0.487,-0.838,3.357,-2.747,-1.892
0.241,-0.492,-0.834,0.916,-2.563,-1.038
0.239,-0.494,-0.836,-1.038,-1.709,-0.122
0.237,-0.494,-0.840,-1.892,0.122,0.671
0.236,-0.493,-0.841,-2.197,0.122,0.793
0.241,-0.497,-0.834,-5.371,-2.075,1.709
0.238,-0.499,-0.839,-7.019,-2.991,2.441
0.234,-0.498,-0.842,-5.981,-2.319,2.441
0.227,-0.499,-0.842,-4.150,-2.014,1.892
0.230,-0.500,-0.841,-2.014,-1.648,1.221
0.234,-0.501,-0.839,0.061,-2.808,1.160
0.234,-0.500,-0.838,-0.061,-4.150,1.770
0.233,-0.497,-0.839,0.671,-5.066,1.709
0.239,-0.499,-0.835,1.709,-4.272,1.160
0.244,-0.501,-0.833,2.380,-3.113,0.671
0.248,-0.498,-0.830,0.671,-3.601,1.038
0.243,-0.496,-0.832,-1.953,-4.517,1.404
0.240,-0.496,-0.843,-7.019,-6.531,2.380
0.242,-0.499,-0.852,-7.935,-6.714,2.686
0.242,-0.501,-0.856,-5.127,-5.554,2.563
0.242,-0.496,-0.849,-2.808,-5.310,2.014
0.245,-0.492,-0.838,0.061,-6.592,0.732
0.249,-0.489,-0.811,0.488,-6.775,0.305
0.251,-0.490,-0.802,1.770,-4.822,-0.549
0.257,-0.490,-0.801,2.075,-3.662,-0.732
0.256,-0.491,-0.806,1.587,-2.563,-0.793
0.254,-0.492,-0.812,-0.671,-1.892,-0.488
0.254,-0.497,-0.834,-0.977,-1.892,-0.305
0.253,-0.501,-0.843,2.441,-0.549,-0.610
0.256,-0.505,-0.844,4.089,-0.305,-0.854
0.258,-0.505,-0.839,3.296,-1.892,-0.610
0.259,-0.503,-0.829,2.380,-2.502,-0.488
0.258,-0.502,-0.824,1.099,-2.441,-0.488
0.257,-0.496,-0.819,-0.061,-2.014,0.122
0.257,-0.494,-0.818,-0.916,-1.404,0.916
0.258,-0.493,-0.819,-1.526,-0.793,1.099
0.258,-0.494,-0.831,-1.282,-0.854,0.854
0.257,-0.497,-0.834,-0.122,-0.427,-0.122
0.259,-0.499,-0.833,0.122,-0.244,-0.488
0.257,-0.500,-0.834,1.465,0.366,-0.671
0.256,-0.496,-0.831,1.953,0.366,-0.854
0.257,-0.499,-0.831,1.892,-0.183,-0.732
0.260,-0.503,-0.832,0.366,-1.160,-0.183
0.262,-0.501,-0.830,-0.610,-1.892,0.183
0.261,-0.499,-0.830,-3.784,-4.272,1.221
0.256,-0.498,-0.830,-3.906,-4.761,1.343
0.256,-0.497,-0.825,0.305,-4.395,0.366
0.260,-0.495,-0.822,2.563,-4.272,0.122
0.263,-0.495,-0.822,2.930,-3.784,0.122
0.267,-0.487,-0.818,1.953,-3.540,0.244
0.267,-0.489,-0.815,1.160,-2.808,-0.183
0.268,-0.506,-0.808,-1.099,-0.244,0.854
0.296,-0.526,-0.784,-3.235,0.488,3.174
0.308,-0.529,-0.775,-8.484,2.808,7.263
0.308,-0.518,-0.787,-10.010,4.578,10.559
0.290,-0.510,-0.803,-10.498,7.935,15.015
0.254,-0.496,-0.826,-8.484,9.033,13.672
0.250,-0.489,-0.830,-5.371,9.583,10.925
0.251,-0.488,-0.834,-2.258,8.972,7.629
0.249,-0.495,-0.845,-3.052,8.240,6.958
0.246,-0.495,-0.854,-3.662,6.470,6.470
0.241,-0.489,-0.872,-2.991,5.981,6.165
0.240,-0.483,-0.869,-0.671,4.578,4.211
